,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,<html>
0,,,,,,,,,,,,,,,<head><title>502 Bad Gateway</title></head>
1,,,,,,,,,,,,,,,"<body bgcolor=""white"">"
2,,,,,,,,,,,,,,,<center><h1>502 Bad Gateway</h1></center>
3,,,,,,,,,,,,,,,</body>
4,,,,,,,,,,,,,,,</html>
5,,,,,,,,,,,,,,,<head><title>502 Bad Gateway</title></head>
6,,,,,,,,,,,,,,,"<body bgcolor=""white"">"
7,,,,,,,,,,,,,,,<center><h1>502 Bad Gateway</h1></center>
8,,,,,,,,,,,,,,,</body>
9,,,,,,,,,,,,,,,</html>
10,11-Apr-2016,EQ,369.95,384.4,368.0,369.55,382.5,381.35,375.14,499.65,341.35,956538.0,"358,834,946.80",42319.0,
11,08-Apr-2016,EQ,371.2,371.9,366.4,372.9,368.5,369.55,369.25,499.65,341.35,388367.0,"143,405,682.85",20739.0,
12,07-Apr-2016,EQ,372.6,374.25,367.65,371.35,372.0,372.9,371.43,499.65,341.35,830826.0,"308,597,187.65",20978.0,
13,06-Apr-2016,EQ,378.0,378.0,370.0,374.5,372.0,371.35,372.32,499.65,341.35,937244.0,"348,957,443.70",26849.0,
14,05-Apr-2016,EQ,382.05,382.95,371.55,382.05,374.55,374.5,374.65,499.65,341.35,1218017.0,"456,335,419.00",45319.0,
15,04-Apr-2016,EQ,385.95,387.9,374.5,385.6,381.2,382.05,379.73,499.65,341.35,1295034.0,"491,759,148.85",33214.0,
16,01-Apr-2016,EQ,380.9,392.1,376.2,381.95,386.2,385.6,382.97,499.65,341.35,1668173.0,"638,866,045.30",42540.0,
17,31-Mar-2016,EQ,375.95,392.0,368.1,375.3,392.0,381.95,380.32,499.65,341.35,6628368.0,"2,520,870,285.10",105170.0,
18,30-Mar-2016,EQ,389.15,393.0,372.65,387.3,373.85,375.3,387.1,499.65,341.35,2624634.0,"1,015,986,250.90",47490.0,
19,29-Mar-2016,EQ,375.6,390.0,366.15,373.4,386.2,387.3,376.85,499.65,341.35,1317416.0,"496,462,701.30",37246.0,
20,28-Mar-2016,EQ,385.0,385.55,368.7,384.7,374.0,373.4,374.08,499.65,341.35,1536942.0,"574,941,084.05",80976.0,
21,23-Mar-2016,EQ,390.85,392.15,381.35,390.85,383.65,384.7,386.48,499.65,341.35,1153017.0,"445,612,700.20",53218.0,
22,22-Mar-2016,EQ,389.4,394.0,379.25,386.05,393.5,390.85,386.12,499.65,341.35,1176522.0,"454,274,397.75",32772.0,
23,21-Mar-2016,EQ,382.7,391.9,376.75,380.65,390.0,386.05,381.86,499.65,341.35,1581087.0,"603,758,815.35",30643.0,
24,18-Mar-2016,EQ,367.45,382.9,367.45,369.7,379.9,380.65,376.09,499.65,341.35,1931582.0,"726,446,118.25",36903.0,
25,17-Mar-2016,EQ,370.9,373.9,365.75,367.2,370.0,369.7,369.42,499.65,341.35,1523453.0,"562,789,655.90",36349.0,
26,16-Mar-2016,EQ,366.4,370.8,358.5,368.55,368.0,367.2,363.23,499.65,341.35,2103946.0,"764,207,021.85",67314.0,
27,15-Mar-2016,EQ,378.6,378.6,366.2,380.55,368.5,368.55,368.93,499.65,341.35,647442.0,"238,858,488.15",36923.0,
28,14-Mar-2016,EQ,376.1,382.4,376.1,378.15,381.5,380.55,380.09,499.65,341.35,839168.0,"318,955,451.40",33848.0,
29,11-Mar-2016,EQ,375.5,382.2,373.1,378.3,377.3,378.15,379.29,499.65,341.35,1254444.0,"475,792,990.35",21313.0,
30,10-Mar-2016,EQ,379.0,380.9,375.35,379.45,379.8,378.3,378.36,499.65,341.35,604062.0,"228,553,083.25",14366.0,
31,09-Mar-2016,EQ,377.6,380.8,371.45,378.65,379.75,379.45,376.78,499.65,341.35,731172.0,"275,491,519.25",35025.0,
32,08-Mar-2016,EQ,369.0,380.6,368.1,371.5,379.45,378.65,374.1,499.65,341.35,3842695.0,"1,437,547,552.80",74759.0,
33,04-Mar-2016,EQ,368.4,373.2,366.95,368.5,370.9,371.5,371.25,499.65,341.35,1098458.0,"407,799,310.15",46935.0,
34,03-Mar-2016,EQ,369.0,374.4,363.55,368.05,368.0,368.5,368.04,499.65,341.35,3723356.0,"1,370,354,441.05",67261.0,
35,02-Mar-2016,EQ,379.3,381.5,363.1,374.6,368.0,368.05,369.78,499.65,341.35,2380021.0,"880,088,636.00",76996.0,
36,01-Mar-2016,EQ,352.2,375.55,352.2,356.75,374.6,374.6,370.18,499.65,341.35,1928945.0,"714,054,227.75",126543.0,
37,29-Feb-2016,EQ,364.9,374.6,353.7,364.85,354.8,356.75,359.32,499.65,341.35,8433496.0,"3,030,353,141.25",149956.0,
38,26-Feb-2016,EQ,364.05,368.0,360.55,361.0,367.0,364.85,364.83,499.65,341.35,2143674.0,"782,069,125.90",83903.0,
39,25-Feb-2016,EQ,359.6,364.65,352.95,359.8,362.7,361.0,359.04,499.65,341.35,2039219.0,"732,154,987.95",66829.0,
40,24-Feb-2016,EQ,378.5,378.5,358.3,376.35,360.0,359.8,365.09,499.65,341.35,2050608.0,"748,665,619.00",69440.0,
41,23-Feb-2016,EQ,382.8,385.5,372.2,375.35,377.5,376.35,380.03,499.65,341.35,1395396.0,"530,288,187.90",55227.0,
42,22-Feb-2016,EQ,376.0,377.1,368.0,371.7,375.0,375.35,375.17,499.65,341.35,1561365.0,"585,769,667.15",35545.0,
43,19-Feb-2016,EQ,366.6,375.35,359.55,363.85,372.45,371.7,366.47,499.65,341.35,2089018.0,"765,569,229.10",44821.0,
44,18-Feb-2016,EQ,358.4,366.0,358.05,352.6,365.0,363.85,361.85,499.65,341.35,2006304.0,"725,988,820.90",62409.0,
45,17-Feb-2016,EQ,366.8,366.8,349.4,362.75,353.3,352.6,355.47,499.65,341.35,2659608.0,"945,420,836.20",81746.0,
46,16-Feb-2016,EQ,386.2,393.9,356.0,388.0,361.2,362.75,373.29,499.65,341.35,2279719.0,"851,007,469.85",74626.0,
47,15-Feb-2016,EQ,385.0,392.6,380.4,384.1,386.3,388.0,387.23,499.65,341.35,1314081.0,"508,852,241.40",54052.0,
48,12-Feb-2016,EQ,360.0,390.9,358.5,356.0,383.9,384.1,377.76,499.65,338.5,2745053.0,"1,036,984,298.55",61580.0,
