,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
383,09-Sep-2008,EQ,855.00,871.70,840.0,856.70,864.50,864.80,858.83,"1,150.00",715.9,703832,"604,475,143.35",
384,08-Sep-2008,EQ,860.00,874.40,842.0,838.40,856.35,856.70,855.02,"1,150.00",715.9,1292608,"1,105,210,729.40",
385,05-Sep-2008,EQ,850.00,850.00,825.0,844.20,838.50,838.40,839.70,"1,150.00",715.9,611342,"513,346,110.00",
386,04-Sep-2008,EQ,845.00,854.80,832.35,848.80,845.50,844.20,844.51,"1,150.00",715.9,615419,"519,728,864.35",
387,02-Sep-2008,EQ,814.95,853.00,814.95,814.95,850.50,848.80,834.15,"1,150.00",715.9,661962,"552,178,710.90",
388,01-Sep-2008,EQ,815.00,820.00,807.0,812.20,814.00,814.95,812.70,"1,150.00",715.9,381858,"310,337,329.25",
389,29-Aug-2008,EQ,800.00,819.95,800.0,792.35,811.50,812.20,810.95,"1,150.00",715.9,499625,"405,171,666.45",
390,28-Aug-2008,EQ,820.00,824.25,782.65,818.45,791.00,792.35,801.93,"1,150.00",715.9,1645172,"1,319,310,853.15",
391,27-Aug-2008,EQ,820.10,836.00,813.1,834.05,819.05,818.45,824.21,"1,150.00",715.9,532947,"439,258,747.40",
392,26-Aug-2008,EQ,809.95,836.95,809.95,818.20,834.10,834.05,830.38,"1,150.00",715.9,551251,"457,746,591.70",
393,25-Aug-2008,EQ,824.00,835.00,816.0,819.00,816.00,818.20,822.51,"1,150.00",715.9,235561,"193,751,998.25",
394,22-Aug-2008,EQ,819.00,824.75,803.5,817.85,817.00,819.00,813.68,"1,150.00",715.9,661321,"538,103,149.50",
395,21-Aug-2008,EQ,836.00,842.00,815.2,841.60,818.00,817.85,821.48,"1,150.00",715.9,494129,"405,917,285.05",
396,20-Aug-2008,EQ,842.70,849.00,835.0,841.25,842.50,841.60,841.03,"1,150.00",715.9,281814,"237,015,150.95",
397,19-Aug-2008,EQ,844.50,851.00,835.1,841.55,841.00,841.25,843.65,"1,150.00",715.9,488325,"411,976,772.70",
398,18-Aug-2008,EQ,840.00,852.40,835.0,833.20,838.15,841.55,845.01,"1,150.00",715.9,489162,"413,346,429.10",
399,14-Aug-2008,EQ,829.00,844.65,811.0,828.30,830.00,833.20,833.89,"1,150.00",715.9,935377,"780,003,537.10",
400,13-Aug-2008,EQ,800.00,837.70,800.0,819.25,833.00,828.30,821.59,"1,150.00",715.9,924492,"759,549,427.25",
401,12-Aug-2008,EQ,835.00,843.70,815.0,833.95,818.30,819.25,826.70,"1,150.00",715.9,830876,"686,881,889.15",
402,11-Aug-2008,EQ,852.00,857.80,824.5,845.10,830.35,833.95,834.20,"1,150.00",715.9,851275,"710,130,904.70",
403,08-Aug-2008,EQ,844.95,857.00,833.4,853.35,843.00,845.10,843.39,"1,188.85",715.9,521668,"439,968,669.75",
404,07-Aug-2008,EQ,859.00,869.90,845.0,860.55,845.00,853.35,860.10,"1,188.85",715.9,768080,"660,623,742.25",
405,06-Aug-2008,EQ,839.90,869.95,836.4,829.70,855.00,860.55,854.34,"1,188.85",715.9,1252483,"1,070,045,643.15",
406,05-Aug-2008,EQ,815.40,835.00,805.25,815.35,833.60,829.70,821.11,"1,188.85",715.9,1192050,"978,808,220.00",
407,04-Aug-2008,EQ,815.00,840.00,811.0,840.65,815.05,815.35,819.27,"1,188.85",715.9,1309732,"1,073,022,449.55",
408,01-Aug-2008,EQ,825.00,856.95,811.25,833.75,835.00,840.65,838.47,"1,188.85",715.9,1002931,"840,927,154.30",
409,31-Jul-2008,EQ,840.00,842.00,821.5,838.95,829.90,833.75,830.07,"1,188.85",715.9,1298895,"1,078,172,279.65",
410,30-Jul-2008,EQ,846.00,846.00,800.0,808.95,842.00,838.95,821.64,"1,188.85",715.9,1105019,"907,930,441.45",
