,timestamp,open,high,low,close,volume
0,2020-06-11 05:30:00,707.7,709.25,702.85,704.45,11570
1,2020-06-11 05:00:00,708.11,708.55,704.6,707.51,10298
2,2020-06-11 04:30:00,707.3,708.4,706.15,708.05,13514
3,2020-06-11 04:00:00,709.25,710.11,707.66,707.95,13438
4,2020-06-11 03:30:00,708.65,710.55,708.0,709.6,10338
5,2020-06-11 03:00:00,710.72,713.21,709.06,709.07,48252
6,2020-06-11 02:30:00,712.55,713.2,710.1,710.5,24852
7,2020-06-11 02:00:00,702.85,712.44,702.08,712.05,183258
8,2020-06-11 01:30:00,705.6,705.7,700.45,703.0,21088
9,2020-06-11 01:00:00,707.15,707.94,705.04,705.85,11728
10,2020-06-11 00:30:00,710.05,710.1,705.9,707.15,16744
11,2020-06-11 00:00:00,713.88,716.98,707.57,709.63,66519
12,2020-06-10 05:30:00,717.2,717.55,715.0,716.0,12020
13,2020-06-10 05:00:00,717.0,719.4,716.55,716.8,19294
14,2020-06-10 04:30:00,717.5,717.5,716.5,716.9,14121
15,2020-06-10 04:00:00,716.47,718.41,716.21,717.02,32821
16,2020-06-10 03:30:00,717.85,718.0,712.6,716.1,35402
17,2020-06-10 03:00:00,715.55,718.84,715.49,717.9,22160
18,2020-06-10 02:30:00,715.6,716.0,713.7,715.25,31269
19,2020-06-10 02:00:00,716.85,717.7,715.65,715.65,20535
20,2020-06-10 01:30:00,715.3,717.35,714.55,716.85,13358
21,2020-06-10 01:00:00,714.1,718.1,714.1,715.45,40524
22,2020-06-10 00:30:00,713.9,714.6,712.75,714.0,10928
23,2020-06-10 00:00:00,715.04,719.21,710.06,713.79,87538
24,2020-06-09 05:30:00,718.55,718.7,715.6,717.9,106052
25,2020-06-09 05:00:00,719.05,720.45,717.89,719.1,12217
26,2020-06-09 04:30:00,721.0,721.85,717.3,718.8,223860
27,2020-06-09 04:00:00,721.6,723.25,719.85,720.55,236337
28,2020-06-09 03:30:00,727.15,727.6,721.5,721.95,28302
29,2020-06-09 03:00:00,725.0,729.4,725.0,727.5,48847
30,2020-06-09 02:30:00,723.15,726.35,722.8,725.15,28820
31,2020-06-09 02:00:00,722.39,724.37,721.52,723.29,14369
32,2020-06-09 01:30:00,721.5,722.3,719.2,722.0,11316
33,2020-06-09 01:00:00,718.88,723.42,718.82,721.33,41359
34,2020-06-09 00:30:00,719.8,722.4,716.1,718.85,31312
35,2020-06-09 00:00:00,721.05,725.47,718.02,719.8,104167
36,2020-06-08 05:30:00,721.8,721.95,718.25,718.7,30823
37,2020-06-08 05:00:00,719.5,723.45,717.65,721.55,33263
38,2020-06-08 04:30:00,722.2,724.0,719.8,719.85,59371
39,2020-06-08 04:00:00,722.03,723.13,719.63,722.53,117024
40,2020-06-08 03:30:00,721.85,723.0,721.5,722.0,107130
41,2020-06-08 03:00:00,723.55,725.65,721.6,722.0,66780
42,2020-06-08 02:30:00,723.5,725.3,722.0,723.65,67256
43,2020-06-08 02:00:00,722.33,724.32,721.42,723.93,682207
44,2020-06-08 01:30:00,719.0,723.3,718.9,722.1,92100
45,2020-06-08 01:00:00,715.2,720.45,714.95,719.25,153592
46,2020-06-08 00:30:00,708.2,715.3,708.0,715.1,65578
47,2020-06-08 00:00:00,706.46,712.0,703.1,708.91,95354
48,2020-06-05 05:30:00,706.6,707.0,702.15,703.75,22949
49,2020-06-05 05:00:00,710.28,711.22,706.51,706.68,18320
50,2020-06-05 04:30:00,711.25,711.6,708.35,710.25,31923
51,2020-06-05 04:00:00,709.55,712.32,708.76,711.4,49110
52,2020-06-05 03:30:00,706.25,710.15,705.6,709.35,55172
53,2020-06-05 03:00:00,701.3,706.4,701.0,706.0,136903
54,2020-06-05 02:30:00,702.0,703.0,700.65,701.4,19704
55,2020-06-05 02:00:00,703.01,703.65,701.45,702.36,8076
56,2020-06-05 01:30:00,704.0,704.35,702.05,702.95,10070
57,2020-06-05 01:00:00,704.55,705.9,703.85,703.85,12032
58,2020-06-05 00:30:00,703.55,705.9,703.0,704.3,20252
59,2020-06-05 00:00:00,707.02,710.16,703.26,703.42,84625
60,2020-06-04 05:30:00,703.7,708.75,703.5,708.6,273984
61,2020-06-04 05:00:00,703.89,705.76,703.86,704.09,179113
62,2020-06-04 04:30:00,704.7,705.0,701.7,703.8,153902
63,2020-06-04 04:00:00,704.46,705.75,704.45,704.76,19082
64,2020-06-04 03:30:00,703.7,706.2,703.45,704.65,36239
65,2020-06-04 03:00:00,704.51,705.45,703.05,703.76,32738
66,2020-06-04 02:30:00,705.0,706.95,703.5,704.25,25828
67,2020-06-04 02:00:00,703.2,706.75,702.95,705.85,31927
68,2020-06-04 01:30:00,702.4,703.35,701.4,703.35,17120
69,2020-06-04 01:00:00,701.95,703.3,701.65,702.1,36469
70,2020-06-04 00:30:00,700.5,701.9,697.65,701.9,24922
71,2020-06-04 00:00:00,702.55,705.89,700.33,700.6,70097
72,2020-06-03 05:30:00,699.0,701.9,698.25,700.85,36731
